1597983613.000000,IBI,2020-0821-1320-13-000
31.765625,0.750000,2020-0821-1320-44-765
32.484375,0.718750,2020-0821-1320-45-484
73.125000,0.609375,2020-0821-1321-26-125
73.734375,0.609375,2020-0821-1321-26-734
74.343750,0.609375,2020-0821-1321-27-343
78.031250,0.625000,2020-0821-1321-31-031
78.656250,0.625000,2020-0821-1321-31-656
79.281250,0.625000,2020-0821-1321-32-281
79.906250,0.625000,2020-0821-1321-32-906
80.546875,0.640625,2020-0821-1321-33-546
81.171875,0.625000,2020-0821-1321-34-171
81.812500,0.640625,2020-0821-1321-34-812
82.484375,0.671875,2020-0821-1321-35-484
83.140625,0.656250,2020-0821-1321-36-140
89.187500,0.687500,2020-0821-1321-42-187
89.859375,0.671875,2020-0821-1321-42-859
90.531250,0.671875,2020-0821-1321-43-531
91.218750,0.687500,2020-0821-1321-44-218
91.906250,0.687500,2020-0821-1321-44-906
110.546875,0.703125,2020-0821-1322-03-546
123.578125,0.796875,2020-0821-1322-16-578
124.406250,0.828125,2020-0821-1322-17-406
125.187500,0.781250,2020-0821-1322-18-187
125.843750,0.656250,2020-0821-1322-18-843
126.734375,0.890625,2020-0821-1322-19-734
137.578125,0.671875,2020-0821-1322-30-578
138.312500,0.734375,2020-0821-1322-31-312
143.687500,0.640625,2020-0821-1322-36-687
149.937500,0.687500,2020-0821-1322-42-937
150.640625,0.703125,2020-0821-1322-43-640
