1597983851.000000,IBI,2020-0821-1324-11-000
17.687500,0.609375,2020-0821-1324-28-687
18.296875,0.609375,2020-0821-1324-29-296
18.937500,0.640625,2020-0821-1324-29-937
19.578125,0.640625,2020-0821-1324-30-578
20.218750,0.640625,2020-0821-1324-31-218
20.937500,0.718750,2020-0821-1324-31-937
21.640625,0.703125,2020-0821-1324-32-640
22.312500,0.671875,2020-0821-1324-33-312
22.984375,0.671875,2020-0821-1324-33-984
23.625000,0.640625,2020-0821-1324-34-625
24.234375,0.609375,2020-0821-1324-35-234
24.828125,0.593750,2020-0821-1324-35-828
30.187500,0.828125,2020-0821-1324-41-187
31.015625,0.828125,2020-0821-1324-42-015
31.734375,0.718750,2020-0821-1324-42-734
32.437500,0.703125,2020-0821-1324-43-437
33.187500,0.750000,2020-0821-1324-44-187
33.906250,0.718750,2020-0821-1324-44-906
34.593750,0.687500,2020-0821-1324-45-593
35.328125,0.734375,2020-0821-1324-46-328
36.171875,0.843750,2020-0821-1324-47-171
36.968750,0.796875,2020-0821-1324-47-968
37.703125,0.734375,2020-0821-1324-48-703
38.531250,0.828125,2020-0821-1324-49-531
39.375000,0.843750,2020-0821-1324-50-375
100.187500,0.734375,2020-0821-1325-51-187
111.718750,0.609375,2020-0821-1326-02-718,Sess01_script06_User001F_004
112.421875,0.703125,2020-0821-1326-03-421,Sess01_script06_User001F_004
113.218750,0.796875,2020-0821-1326-04-218,Sess01_script06_User001F_004
114.031250,0.812500,2020-0821-1326-05-031,Sess01_script06_User001F_004
114.859375,0.828125,2020-0821-1326-05-859,Sess01_script06_User001F_004
125.640625,0.718750,2020-0821-1326-16-640,Sess01_script06_User001F_005
126.390625,0.750000,2020-0821-1326-17-390,Sess01_script06_User001F_005
127.171875,0.781250,2020-0821-1326-18-171,Sess01_script06_User001F_005
127.953125,0.781250,2020-0821-1326-18-953,Sess01_script06_User001F_005
128.718750,0.765625,2020-0821-1326-19-718,Sess01_script06_User001F_005
129.468750,0.750000,2020-0821-1326-20-468,Sess01_script06_User001F_005
130.203125,0.734375,2020-0821-1326-21-203,Sess01_script06_User001F_005
130.859375,0.656250,2020-0821-1326-21-859,Sess01_script06_User001F_005
131.531250,0.671875,2020-0821-1326-22-531,Sess01_script06_User001F_005
170.812500,0.671875,2020-0821-1327-01-812
171.593750,0.781250,2020-0821-1327-02-593
172.359375,0.765625,2020-0821-1327-03-359
173.062500,0.703125,2020-0821-1327-04-062
173.781250,0.718750,2020-0821-1327-04-781
174.484375,0.703125,2020-0821-1327-05-484
175.156250,0.671875,2020-0821-1327-06-156
175.812500,0.656250,2020-0821-1327-06-812
176.453125,0.640625,2020-0821-1327-07-453
177.078125,0.625000,2020-0821-1327-08-078
177.750000,0.671875,2020-0821-1327-08-750
178.437500,0.687500,2020-0821-1327-09-437
179.203125,0.765625,2020-0821-1327-10-203
179.906250,0.703125,2020-0821-1327-10-906
187.484375,0.656250,2020-0821-1327-18-484
188.171875,0.687500,2020-0821-1327-19-171
188.906250,0.734375,2020-0821-1327-19-906
189.609375,0.703125,2020-0821-1327-20-609
190.328125,0.718750,2020-0821-1327-21-328
191.109375,0.781250,2020-0821-1327-22-109
191.906250,0.796875,2020-0821-1327-22-906
192.625000,0.718750,2020-0821-1327-23-625
206.890625,0.656250,2020-0821-1327-37-890
211.734375,0.703125,2020-0821-1327-42-734
215.765625,0.687500,2020-0821-1327-46-765
221.203125,0.640625,2020-0821-1327-52-203
221.843750,0.640625,2020-0821-1327-52-843
