34.97,0.25,10:57:56.250
34.97,0.5,10:57:56.500
34.97,0.75,10:57:56.750
34.97,1.0,10:57:57.000
34.97,1.25,10:57:57.250
34.97,1.5,10:57:57.500
34.97,1.75,10:57:57.750
34.97,2.0,10:57:58.000
34.99,2.25,10:57:58.250
34.99,2.5,10:57:58.500
34.99,2.75,10:57:58.750
34.99,3.0,10:57:59.000
34.97,3.25,10:57:59.250
34.97,3.5,10:57:59.500
34.97,3.75,10:57:59.750
34.97,4.0,10:58:00.000
34.99,4.25,10:58:00.250
34.99,4.5,10:58:00.500
34.99,4.75,10:58:00.750
34.99,5.0,10:58:01.000
35.03,5.25,10:58:01.250
35.03,5.5,10:58:01.500
35.03,5.75,10:58:01.750
35.03,6.0,10:58:02.000
35.00,6.25,10:58:02.250
35.00,6.5,10:58:02.500
35.00,6.75,10:58:02.750
35.00,7.0,10:58:03.000
35.00,7.25,10:58:03.250
35.00,7.5,10:58:03.500
35.00,7.75,10:58:03.750
35.00,8.0,10:58:04.000
35.00,8.25,10:58:04.250
35.00,8.5,10:58:04.500
35.00,8.75,10:58:04.750
35.00,9.0,10:58:05.000
35.00,9.25,10:58:05.250
35.00,9.5,10:58:05.500
35.00,9.75,10:58:05.750
35.00,10.0,10:58:06.000
35.00,10.25,10:58:06.250
35.00,10.5,10:58:06.500
35.00,10.75,10:58:06.750
35.00,11.0,10:58:07.000
35.05,11.25,10:58:07.250
35.05,11.5,10:58:07.500
35.05,11.75,10:58:07.750
35.05,12.0,10:58:08.000
35.03,12.25,10:58:08.250
35.03,12.5,10:58:08.500
35.03,12.75,10:58:08.750
35.03,13.0,10:58:09.000
35.03,13.25,10:58:09.250
35.03,13.5,10:58:09.500
35.03,13.75,10:58:09.750
35.03,14.0,10:58:10.000
35.03,14.25,10:58:10.250
35.03,14.5,10:58:10.500
35.03,14.75,10:58:10.750
35.03,15.0,10:58:11.000
34.99,15.25,10:58:11.250
34.99,15.5,10:58:11.500
34.99,15.75,10:58:11.750
34.99,16.0,10:58:12.000
34.99,16.25,10:58:12.250
34.99,16.5,10:58:12.500
34.99,16.75,10:58:12.750
34.99,17.0,10:58:13.000
35.05,17.25,10:58:13.250
35.05,17.5,10:58:13.500
35.05,17.75,10:58:13.750
35.05,18.0,10:58:14.000
35.00,18.25,10:58:14.250
35.00,18.5,10:58:14.500
35.00,18.75,10:58:14.750
35.00,19.0,10:58:15.000
35.00,19.25,10:58:15.250
35.00,19.5,10:58:15.500
35.00,19.75,10:58:15.750
35.00,20.0,10:58:16.000
35.05,20.25,10:58:16.250
35.05,20.5,10:58:16.500
35.05,20.75,10:58:16.750
35.05,21.0,10:58:17.000
35.05,21.25,10:58:17.250
