1597979821.000000,2020-0821-1217-01-000
4.000000,hz
0.000000,2020-0821-1217-01-000
0.849985,2020-0821-1217-01-250
1.197158,2020-0821-1217-01-500
1.635021,2020-0821-1217-01-750
2.112596,2020-0821-1217-02-000
2.600513,2020-0821-1217-02-250
3.091259,2020-0821-1217-02-500
3.609525,2020-0821-1217-02-750
4.108367,2020-0821-1217-03-000
4.603951,2020-0821-1217-03-250
5.101231,2020-0821-1217-03-500
5.599647,2020-0821-1217-03-750
6.098416,2020-0821-1217-04-000
6.596790,2020-0821-1217-04-250
7.034165,2020-0821-1217-04-500
6.956848,2020-0821-1217-04-750
6.673946,2020-0821-1217-05-000
6.680347,2020-0821-1217-05-250
6.784035,2020-0821-1217-05-500
6.900524,2020-0821-1217-05-750
7.000371,2020-0821-1217-06-000
7.014452,2020-0821-1217-06-250
7.015733,2020-0821-1217-06-500
7.006772,2020-0821-1217-06-750
7.025973,2020-0821-1217-07-000
6.950448,2020-0821-1217-07-250
6.917165,2020-0821-1217-07-500
6.924846,2020-0821-1217-07-750
6.923565,2020-0821-1217-08-000
6.969649,2020-0821-1217-08-250
6.999091,2020-0821-1217-08-500
7.013173,2020-0821-1217-08-750
7.027254,2020-0821-1217-09-000
7.015733,2020-0821-1217-09-250
7.023413,2020-0821-1217-09-500
7.034934,2020-0821-1217-09-750
7.027254,2020-0821-1217-10-000
7.019573,2020-0821-1217-10-250
7.037494,2020-0821-1217-10-500
7.111740,2020-0821-1217-10-750
7.187266,2020-0821-1217-11-000
7.280713,2020-0821-1217-11-250
7.302474,2020-0821-1217-11-500
7.340878,2020-0821-1217-11-750
7.305035,2020-0821-1217-12-000
7.244870,2020-0821-1217-12-250
7.194946,2020-0821-1217-12-500
7.156543,2020-0821-1217-12-750
7.133502,2020-0821-1217-13-000
7.113020,2020-0821-1217-13-250
7.091259,2020-0821-1217-13-500
7.078457,2020-0821-1217-13-750
7.084858,2020-0821-1217-14-000
7.123261,2020-0821-1217-14-250
7.191106,2020-0821-1217-14-500
7.217988,2020-0821-1217-14-750
7.216708,2020-0821-1217-15-000
7.201347,2020-0821-1217-15-250
7.175745,2020-0821-1217-15-500
7.138622,2020-0821-1217-15-750
7.093819,2020-0821-1217-16-000
7.024693,2020-0821-1217-16-250
7.040054,2020-0821-1217-16-500
7.025973,2020-0821-1217-16-750
7.029814,2020-0821-1217-17-000
7.018293,2020-0821-1217-17-250
7.025973,2020-0821-1217-17-500
7.027254,2020-0821-1217-17-750
7.054136,2020-0821-1217-18-000
7.074617,2020-0821-1217-18-250
7.110460,2020-0821-1217-18-500
7.134782,2020-0821-1217-18-750
7.147583,2020-0821-1217-19-000
7.127101,2020-0821-1217-19-250
7.092538,2020-0821-1217-19-500
7.064376,2020-0821-1217-19-750
7.050295,2020-0821-1217-20-000
7.036214,2020-0821-1217-20-250
7.033654,2020-0821-1217-20-500
7.011892,2020-0821-1217-20-750
7.002932,2020-0821-1217-21-000
7.000371,2020-0821-1217-21-250
6.995251,2020-0821-1217-21-500
6.996531,2020-0821-1217-21-750
7.010612,2020-0821-1217-22-000
7.011892,2020-0821-1217-22-250
7.001652,2020-0821-1217-22-500
6.995251,2020-0821-1217-22-750
6.990131,2020-0821-1217-23-000
6.970929,2020-0821-1217-23-250
6.969649,2020-0821-1217-23-500
6.981170,2020-0821-1217-23-750
6.992691,2020-0821-1217-24-000
7.001652,2020-0821-1217-24-250
