1598240646.000000,2020-0824-1244-06-000
4.000000,hz
0.000000,2020-0824-1244-06-000
0.829071,2020-0824-1244-06-250
1.176600,2020-0824-1244-06-500
1.614910,2020-0824-1244-06-750
2.092975,2020-0824-1244-07-000
2.581391,2020-0824-1244-07-250
3.072319,2020-0824-1244-07-500
3.586794,2020-0824-1244-07-750
4.089166,2020-0824-1244-08-000
4.585201,2020-0824-1244-08-250
5.082858,2020-0824-1244-08-500
5.581675,2020-0824-1244-08-750
6.080938,2020-0824-1244-09-000
6.579724,2020-0824-1244-09-250
7.079047,2020-0824-1244-09-500
7.578303,2020-0824-1244-09-750
8.077474,2020-0824-1244-10-000
8.576722,2020-0824-1244-10-250
8.925853,2020-0824-1244-10-500
9.027570,2020-0824-1244-10-750
9.130083,2020-0824-1244-11-000
9.196716,2020-0824-1244-11-250
9.241565,2020-0824-1244-11-500
9.265912,2020-0824-1244-11-750
9.264630,2020-0824-1244-12-000
9.232595,2020-0824-1244-12-250
9.185184,2020-0824-1244-12-500
9.135208,2020-0824-1244-12-750
9.077545,2020-0824-1244-13-000
9.026289,2020-0824-1244-13-250
8.985284,2020-0824-1244-13-500
8.945560,2020-0824-1244-13-750
8.931464,2020-0824-1244-14-000
8.931464,2020-0824-1244-14-250
8.913525,2020-0824-1244-14-500
8.910962,2020-0824-1244-14-750
8.896866,2020-0824-1244-15-000
8.867393,2020-0824-1244-15-250
8.852017,2020-0824-1244-15-500
8.828952,2020-0824-1244-15-750
8.807168,2020-0824-1244-16-000
8.798198,2020-0824-1244-16-250
8.787947,2020-0824-1244-16-500
8.785384,2020-0824-1244-16-750
8.785384,2020-0824-1244-17-000
8.777696,2020-0824-1244-17-250
8.758474,2020-0824-1244-17-500
8.767444,2020-0824-1244-17-750
8.772570,2020-0824-1244-18-000
8.766163,2020-0824-1244-18-250
8.790509,2020-0824-1244-18-500
8.844329,2020-0824-1244-18-750
8.986565,2020-0824-1244-19-000
9.295384,2020-0824-1244-19-250
9.574731,2020-0824-1244-19-500
9.882112,2020-0824-1244-19-750
10.005126,2020-0824-1244-20-000
10.006555,2020-0824-1244-20-250
9.924544,2020-0824-1244-20-500
9.870726,2020-0824-1244-20-750
9.905323,2020-0824-1244-21-000
9.979645,2020-0824-1244-21-250
10.039871,2020-0824-1244-21-500
10.050122,2020-0824-1244-21-750
10.002710,2020-0824-1244-22-000
9.928389,2020-0824-1244-22-250
9.793840,2020-0824-1244-22-500
9.666982,2020-0824-1244-22-750
9.558062,2020-0824-1244-23-000
9.452986,2020-0824-1244-23-250
9.390197,2020-0824-1244-23-500
9.333669,2020-0824-1244-23-750
9.274724,2020-0824-1244-24-000
9.236281,2020-0824-1244-24-250
9.200402,2020-0824-1244-24-500
9.173492,2020-0824-1244-24-750
9.145302,2020-0824-1244-25-000
9.122236,2020-0824-1244-25-250
9.118392,2020-0824-1244-25-500
9.222186,2020-0824-1244-25-750
9.531006,2020-0824-1244-26-000
9.700151,2020-0824-1244-26-250
9.445151,2020-0824-1244-26-500
8.782663,2020-0824-1244-26-750
8.497066,2020-0824-1244-27-000
8.585485,2020-0824-1244-27-250
8.655962,2020-0824-1244-27-500
8.723876,2020-0824-1244-27-750
8.776414,2020-0824-1244-28-000
8.958374,2020-0824-1244-28-250
9.119831,2020-0824-1244-28-500
9.233876,2020-0824-1244-28-750
9.230033,2020-0824-1244-29-000
9.168525,2020-0824-1244-29-250
9.069857,2020-0824-1244-29-500
8.973751,2020-0824-1244-29-750
8.893023,2020-0824-1244-30-000
8.795635,2020-0824-1244-30-250
8.581640,2020-0824-1244-30-500
8.366364,2020-0824-1244-30-750
8.181355,2020-0824-1244-31-000
8.169822,2020-0824-1244-31-250
8.163415,2020-0824-1244-31-500
8.098063,2020-0824-1244-31-750
8.095500,2020-0824-1244-32-000
8.133943,2020-0824-1244-32-250
8.256957,2020-0824-1244-32-500
8.365877,2020-0824-1244-32-750
8.420978,2020-0824-1244-33-000
8.467109,2020-0824-1244-33-250
8.479922,2020-0824-1244-33-500
8.485048,2020-0824-1244-33-750
8.465827,2020-0824-1244-34-000
8.463264,2020-0824-1244-34-250
8.449169,2020-0824-1244-34-500
8.428666,2020-0824-1244-34-750
8.428666,2020-0824-1244-35-000,Sess03_script06_User005M_001
8.427384,2020-0824-1244-35-250,Sess03_script06_User005M_001
8.409445,2020-0824-1244-35-500,Sess03_script06_User005M_001
8.401756,2020-0824-1244-35-750,Sess03_script06_User005M_001
8.394068,2020-0824-1244-36-000,Sess03_script06_User005M_002
8.406882,2020-0824-1244-36-250,Sess03_script06_User005M_002
8.436355,2020-0824-1244-36-500,Sess03_script06_User005M_002
8.478642,2020-0824-1244-36-750,Sess03_script06_User005M_002
8.527334,2020-0824-1244-37-000,Sess03_script06_User005M_002
8.563214,2020-0824-1244-37-250,Sess03_script06_User005M_002
8.567059,2020-0824-1244-37-500,Sess03_script06_User005M_002
8.559370,2020-0824-1244-37-750,Sess03_script06_User005M_002
8.542711,2020-0824-1244-38-000,Sess03_script06_User005M_002
8.509395,2020-0824-1244-38-250,Sess03_script06_User005M_002
8.486330,2020-0824-1244-38-500,Sess03_script06_User005M_002
8.469671,2020-0824-1244-38-750,Sess03_script06_User005M_002
8.449169,2020-0824-1244-39-000,Sess03_script06_User005M_002
8.442761,2020-0824-1244-39-250,Sess03_script06_User005M_002
