Numb,Wav,,ECG,,E4-EDA,,E4-TEMP,,Segment ID,Total Evaluation,,,Eval01F,,,Eval02M,,,Eval03F,,,Eval04F,,,Eval05M,,,Eval06M,,,Eval07M,,,Eval08F,,,Eval09M,,,Eval10F,,
,start,end,start,end,start,end,start,end,,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal
1,8.556,14.101,0,-0.07230093,5.468994,5.661205,31.57,31.53,Sess03_script01_M001,surprise,1.8,3.5,surprise,3,4,surprise,2,4,surprise,2,3,surprise,1,4,surprise,1,5,surprise,1,1,surprise,2,3,surprise,2,4,surprise,2,4,fear,2,3
2,14.101,19.474,-0.07230093,-0.1048364,5.661205,5.697084,31.53,31.45,Sess03_script01_F001,surprise,1.8,3.5,surprise,2,3,surprise,2,4,surprise,2,3,surprise,1,5,surprise,1,5,surprise,1,1,surprise,2,4,surprise,2,4,surprise,3,3,neutral,2,3
3,19.474,27.476,-0.1048364,-0.1048364,5.697084,5.859398,31.45,31.35,Sess03_script01_M002,angry,1.4,4,angry,1,5,angry,2,4,angry,2,4,angry,1,5,angry,1,5,angry,1,1,angry,1,4,angry,2,4,angry,2,4,angry,1,4
4,27.476,30.01,-0.1048364,-0.3759648,5.859398,5.926032,31.35,31.33,Sess03_script01_M003,angry,1.5,3.9,angry,1,4,sad,2,4,angry,2,4,surprise,1,5,angry,1,5,angry,1,1,surprise,2,4,angry,2,4,angry,2,4,angry,1,4
5,30.01,33.657,-0.3759648,0.05061065,5.926032,6.220756,31.33,31.33,Sess03_script01_F002,fear,1.7,3.9,fear,2,4,surprise,2,4,angry,2,4,fear,1,5,surprise,1,5,fear,1,1,surprise,2,4,angry,2,4,angry,2,4,fear,2,4
6,33.657,40.653,0.05061065,0.03253542,6.220756,6.004198,31.33,31.29,Sess03_script01_M004,neutral;fear,1.9,3.3,fear,3,4,surprise,2,4,neutral,2,3,fear,1,4,surprise,1,5,fear,1,1,neutral,2,2,fear,2,4,neutral,3,3,neutral,2,3
7,40.653,50.138,0.03253542,-0.2458232,6.004198,6.132338,31.29,31.25,Sess03_script01_F003,fear,1.8,3.1,fear,3,3,surprise,2,4,neutral,2,3,fear,1,4,surprise,1,5,fear,1,1,neutral,2,2,fear,2,4,neutral,2,3,fear,2,2
8,50.138,66.526,-0.2458232,-0.08676112,6.132338,6.296359,31.25,31.23,Sess03_script01_M005,fear,1.7,3.6,fear,2,4,sad,2,4,neutral,2,3,fear,1,5,surprise,1,5,fear,1,1,fear,2,3,fear,2,5,surprise,3,4,fear,1,2
9,66.526,70.537,-0.08676112,-0.1084514,6.296359,6.336082,31.23,31.21,Sess03_script01_M006,angry,1.4,4.1,angry,1,4,angry,1,5,angry,2,4,angry,1,5,fear,1,5,angry,1,1,angry,2,4,angry,2,5,angry,2,4,angry,1,4
10,70.537,71.223,-0.1084514,0.01084514,6.336082,6.315579,31.21,31.21,Sess03_script01_F004,angry,1.6,4,surprise,2,4,angry,2,4,angry,2,4,surprise,1,5,fear,1,5,angry,1,1,angry,2,4,fear,2,5,angry,2,4,angry,1,4
11,71.223,76.516,0.01084514,-0.0469956,6.315579,6.41241,31.21,31.23,Sess03_script01_M007,surprise,1.9,3.8,fear,3,4,surprise,2,4,surprise,2,4,surprise,1,5,surprise,1,5,fear,1,1,angry,2,4,surprise,2,5,surprise,3,3,fear,2,3
12,76.516,87.387,-0.0469956,-0.09037616,6.41241,6.225324,31.23,31.21,Sess03_script01_F005,surprise,1.9,3.6,fear,3,3,surprise,2,4,surprise,2,4,surprise,1,5,surprise,1,5,fear,1,1,surprise,2,3,fear,2,5,surprise,3,3,fear,2,3
13,87.387,94.507,-0.09037616,-0.1120664,6.225324,6.375249,31.21,31.19,Sess03_script01_M008,surprise,1.5,3.8,fear,2,4,surprise,1,4,surprise,2,4,surprise,1,5,fear,1,5,fear,1,1,surprise,2,3,surprise,2,5,angry,2,4,fear,1,3
14,94.507,104.842,-0.1120664,-0.2602834,6.375249,6.028544,31.19,31.15,Sess03_script01_F006,surprise,1.9,3.7,fear,3,3,surprise,2,4,surprise,2,4,surprise,1,5,fear,1,5,fear,1,1,surprise,2,4,surprise,2,5,surprise,3,4,fear,2,2
15,104.842,113.852,-0.2602834,-0.1192965,6.028544,6.178469,31.15,31.15,Sess03_script01_M009,fear,1.9,3.5,fear,3,3,fear,2,4,surprise,2,3,surprise,1,5,fear,1,5,fear,1,1,surprise,2,4,fear,2,5,neutral,3,3,fear,2,2
16,113.852,124.929,-0.1192965,-0.07591598,6.178469,6.398871,31.15,31.15,Sess03_script01_M010,fear,1.9,4,happy,4,4,fear,1,5,surprise,2,4,surprise,1,4,fear,1,5,fear,1,1,neutral,2,4,fear,2,5,neutral,3,4,fear,2,4
17,124.929,130.718,-0.07591598,-0.0469956,6.398871,6.517485,31.15,31.15,Sess03_script01_F007,fear,1.8,3.6,fear,3,3,fear,2,4,surprise,2,3,fear,1,5,fear,1,5,fear,1,1,neutral,2,4,fear,2,5,angry,2,3,fear,2,3
18,130.718,137.769,-0.0469956,-0.06868588,6.517485,6.59437,31.15,31.11,Sess03_script01_M011,angry,1.4,4.3,angry,1,5,angry,1,5,angry,2,4,fear,1,5,fear,1,5,angry,1,1,angry,2,4,angry,2,5,angry,2,5,angry,1,4
