Numb,Wav,,ECG,,E4-EDA,,E4-TEMP,,Segment ID,Total Evaluation,,,Eval01F,,,Eval02M,,,Eval03F,,,Eval04F,,,Eval05M,,,Eval06M,,,Eval07M,,,Eval08F,,,Eval09M,,,Eval10F,,
,start,end,start,end,start,end,start,end,,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal
1,8.556,14.101,-0.02169028,-0.02530533,0.360097,0.367786,32.68,32.66,Sess03_script01_M001,neutral,2.4,2.9,fear,2,2,fear,3,2,surprise,3,3,surprise,2,4,neutral,2,3,neutral,2,2,neutral,3,3,fear,2,4,neutral,3,3,neutral,2,3
2,14.101,19.474,-0.02530533,0.2458232,0.367786,0.352408,32.66,32.66,Sess03_script01_F001,fear,1.7,3.7,fear,1,4,fear,2,4,surprise,3,4,surprise,1,4,surprise,1,4,fear,2,2,fear,2,4,fear,2,4,surprise,2,4,fear,1,3
3,19.474,27.476,0.2458232,0.05784074,0.352408,0.34472,32.66,32.68,Sess03_script01_M002,fear,1.6,3.5,fear,1,3,fear,1,4,fear,3,4,surprise,1,4,surprise,2,5,fear,1,1,fear,2,4,fear,2,4,surprise,2,4,fear,1,2
4,27.476,30.01,0.05784074,-0.03253542,0.34472,0.342157,32.68,32.65,Sess03_script01_M003,fear,1.7,3.4,fear,1,3,fear,1,4,fear,3,4,surprise,1,4,surprise,2,5,fear,1,1,fear,2,4,sad,2,4,surprise,2,3,fear,2,2
5,30.01,33.657,-0.03253542,0.6181729,0.342157,0.348564,32.65,32.63,Sess03_script01_F002,fear,1.9,3.6,fear,1,4,surprise,2,4,fear,3,4,surprise,1,4,fear,2,5,fear,1,1,fear,2,4,fear,2,4,surprise,3,4,fear,2,2
6,33.657,40.653,0.6181729,0.9254519,0.348564,0.349845,32.63,32.65,Sess03_script01_M004,fear,1.8,3.2,fear,1,3,surprise,2,4,fear,3,2,surprise,1,4,fear,2,4,fear,1,1,fear,2,4,fear,2,4,neutral,2,3,neutral,2,3
7,40.653,50.138,0.9254519,0.003615046,0.349845,0.361379,32.65,32.63,Sess03_script01_F003,fear,1.7,4.2,fear,2,5,fear,1,5,fear,3,4,surprise,1,5,fear,2,5,angry,1,1,fear,2,4,fear,2,5,surprise,2,4,fear,1,4
8,50.138,66.526,0.003615046,-0.007230093,0.361379,0.372912,32.63,32.63,Sess03_script01_M005,fear,1.8,3.3,fear,2,3,surprise,2,4,fear,2,2,surprise,1,5,fear,1,5,fear,1,1,fear,2,4,fear,2,4,neutral,3,3,fear,2,2
9,66.526,70.537,-0.007230093,-0.01084514,0.372912,0.369068,32.63,32.61,Sess03_script01_M006,fear,1.7,3.7,fear,2,3,surprise,1,5,fear,2,4,fear,1,5,fear,1,5,angry,1,1,fear,2,4,fear,2,4,neutral,3,3,fear,2,3
10,70.537,71.223,-0.01084514,-0.09399121,0.369068,0.371631,32.61,32.61,Sess03_script01_F004,surprise,1.5,4,fear,2,4,surprise,1,5,surprise,2,4,surprise,1,5,surprise,1,5,angry,1,1,fear,2,4,fear,2,4,surprise,2,4,fear,1,4
11,71.223,76.516,-0.09399121,0.0469956,0.371631,0.367786,32.61,32.61,Sess03_script01_M007,fear,1.6,3.7,fear,1,4,surprise,2,4,fear,2,4,fear,1,5,surprise,1,5,fear,1,1,fear,2,4,fear,2,4,neutral,2,4,fear,2,2
12,76.516,87.387,0.0469956,-0.0542257,0.367786,0.431861,32.61,32.57,Sess03_script01_F005,fear,1.4,4,fear,1,3,fear,1,5,surprise,2,4,surprise,1,5,fear,1,5,fear,1,1,fear,2,5,fear,2,4,fear,2,4,fear,1,4
13,87.387,94.507,-0.0542257,-0.07230093,0.431861,0.420327,32.57,32.55,Sess03_script01_M008,fear,1.5,4.1,fear,1,5,fear,1,5,fear,2,4,surprise,1,5,fear,1,5,fear,1,1,fear,2,4,fear,2,4,fear,3,4,fear,1,4
14,94.507,104.842,-0.07230093,-0.1012213,0.420327,0.433142,32.55,32.55,Sess03_script01_F006,fear,1.4,4.2,fear,1,5,surprise,1,5,surprise,2,4,fear,1,5,fear,1,5,fear,1,1,fear,2,4,fear,2,5,fear,2,4,fear,1,4
15,104.842,113.852,-0.1012213,-0.1229116,0.433142,0.445957,32.55,32.55,Sess03_script01_M009,fear,1.7,3.7,fear,1,3,surprise,2,4,surprise,2,4,fear,1,5,fear,1,5,fear,1,1,fear,2,4,fear,2,5,fear,3,3,fear,2,3
16,113.852,124.929,-0.1229116,-0.03976551,0.445957,0.515157,32.55,32.57,Sess03_script01_M010,fear,1.8,3.5,fear,2,4,surprise,2,4,fear,2,2,fear,1,5,fear,1,5,fear,1,1,neutral,2,4,fear,2,4,neutral,3,3,neutral,2,3
17,124.929,130.718,-0.03976551,0.01446019,0.515157,0.522846,32.57,32.57,Sess03_script01_F007,fear,1.8,3.4,fear,2,4,surprise,2,4,fear,2,2,fear,1,4,fear,1,5,fear,1,1,neutral,2,3,fear,2,4,fear,3,4,fear,2,3
