Numb,Wav,,ECG,,E4-EDA,,E4-TEMP,,Segment ID,Total Evaluation,,,Eval01F,,,Eval02M,,,Eval03F,,,Eval04F,,,Eval05M,,,Eval06M,,,Eval07M,,,Eval08F,,,Eval09M,,,Eval10F,,
,start,end,start,end,start,end,start,end,,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal
1,7.152,15.476,-0.1446019,-0.02892037,0.145914,0.145914,30.69,30.69,Sess01_script01_M001,surprise,1.8,3.5,surprise,2,3,surprise,2,4,neutral,2,3,surprise,1,4,surprise,1,4,surprise,2,2,surprise,2,4,surprise,2,4,surprise,2,4,surprise,2,3
2,15.476,19.786,-0.02892037,-0.2566683,0.145914,0.143354,30.69,30.71,Sess01_script01_F001,fear,1.5,3.6,fear,2,4,fear,1,4,neutral,2,3,fear,1,4,surprise,1,5,fear,1,1,fear,2,4,fear,1,4,surprise,2,4,fear,2,3
3,19.786,26.493,-0.2566683,-0.1409868,0.143354,0.143354,30.71,30.71,Sess01_script01_M002,fear,1.5,3.4,fear,2,3,fear,1,4,neutral,2,3,fear,1,4,fear,1,5,fear,1,1,fear,2,4,fear,1,4,surprise,2,3,fear,2,3
4,26.493,28.943,-0.1409868,0.155447,0.143354,0.134394,30.71,30.69,Sess01_script01_M003,fear,1.6,3.4,fear,3,3,fear,1,4,neutral,2,3,fear,1,4,fear,1,5,fear,1,1,fear,2,4,fear,1,4,surprise,2,3,fear,2,3
5,28.943,32.167,0.155447,0.02169028,0.134394,0.125435,30.69,30.71,Sess01_script01_F002,fear,1.6,3.7,fear,3,4,fear,1,4,surprise,2,4,fear,1,4,fear,1,5,fear,1,1,fear,2,4,fear,1,4,surprise,2,4,fear,2,3
6,32.167,39.264,0.02169028,2.143723,0.125435,0.129274,30.71,30.71,Sess01_script01_M004,fear,1.6,3.6,fear,3,3,fear,1,4,surprise,2,4,fear,1,4,fear,1,5,fear,1,1,fear,2,4,fear,1,4,neutral,2,4,fear,2,3
7,39.264,46.833,2.143723,-0.2422081,0.129274,0.130554,30.71,30.75,Sess01_script01_F003,fear,1.4,4.1,angry,2,5,fear,1,4,angry,2,4,fear,1,4,fear,1,5,fear,1,1,neutral,2,4,fear,1,4,angry,2,5,angry,1,5
8,46.833,60.445,-0.2422081,0.03253542,0.130554,0.133114,30.75,30.71,Sess01_script01_M005,fear,1.5,3.6,fear,3,3,fear,1,5,neutral,2,3,fear,1,4,fear,1,5,fear,1,1,neutral,2,4,fear,1,4,surprise,2,4,sad,1,3
9,60.445,64.024,0.03253542,-0.2205178,0.133114,0.131834,30.71,30.69,Sess01_script01_M006,fear,1.5,3.5,fear,3,3,fear,1,5,neutral,2,3,fear,1,4,fear,1,5,fear,1,1,neutral,2,4,fear,1,4,neutral,2,3,fear,1,3
10,64.024,65.189,-0.2205178,-0.07953102,0.131834,0.127994,30.69,30.71,Sess01_script01_F004,angry,1.5,4,angry,3,5,surprise,1,5,angry,2,4,fear,1,4,surprise,1,5,angry,1,1,angry,2,4,angry,1,4,surprise,2,4,neutral,1,4
11,65.189,73.016,-0.07953102,0.06507084,0.127994,0.127994,30.71,30.71,Sess01_script01_M007,fear;surprise,1.5,3.8,fear,3,3,surprise,1,5,surprise,2,4,fear,1,4,surprise,1,5,angry,1,1,fear,2,4,angry,1,4,surprise,2,4,fear,1,4
12,73.016,83.209,0.06507084,-0.2855887,0.127994,0.127994,30.71,30.73,Sess01_script01_F005,fear,1.5,3.5,fear,3,3,surprise,1,2,surprise,2,4,fear,1,4,fear,1,5,fear,1,1,fear,2,5,fear,1,4,surprise,2,4,fear,1,3
13,83.209,97.483,-0.2855887,-0.2638984,0.127994,0.244469,30.73,30.75,Sess01_script01_M008,fear,1.5,3,fear,3,3,surprise,1,2,surprise,2,3,fear,1,4,fear,1,5,fear,1,1,fear,2,4,fear,1,4,neutral,2,3,fear,1,1
14,97.483,105.53,-0.2638984,0.7519296,0.244469,0.249589,30.75,30.71,Sess01_script01_F006,fear,1.4,4,fear,2,4,surprise,1,5,fear,2,4,fear,1,4,fear,1,5,fear,1,1,angry,2,4,fear,1,4,surprise,2,4,fear,1,5
15,105.53,112.794,0.7519296,0.06507084,0.249589,0.45822,30.71,30.75,Sess01_script01_M009,fear,1.5,3.7,fear,3,3,fear,1,5,fear,2,3,fear,1,4,fear,1,5,fear,1,1,neutral,2,4,fear,1,4,neutral,2,4,fear,1,4
16,112.794,132.914,0.06507084,0.08314607,0.45822,0.531177,30.75,30.77,Sess01_script01_M010,fear,1.4,3.5,neutral,2,3,fear,1,4,fear,2,3,fear,1,4,fear,1,5,fear,1,1,neutral,2,4,fear,1,4,neutral,2,4,neutral,1,3
17,132.914,136.867,0.08314607,0.003615046,0.531177,0.531177,30.77,30.75,Sess01_script01_F007,neutral,1.5,3.3,angry,2,2,angry,1,3,neutral,2,4,fear,1,4,neutral,1,4,disgust,1,1,neutral,2,4,disgust,1,4,neutral,2,4,neutral,2,3
18,136.867,142.708,0.003615046,0.01084514,0.531177,0.529897,30.75,30.73,Sess01_script01_M011,neutral;fear,1.5,3.4,neutral,2,3,fear,1,4,neutral,2,3,fear,1,4,fear,1,4,fear,1,1,neutral,2,4,fear,1,4,neutral,2,4,neutral,2,3
19,142.708,145.373,0.01084514,-0.4301905,0.529897,0.533737,30.73,30.77,Sess01_script01_F008,fear,1.4,3.8,fear,2,3,sad,1,4,fear,2,4,fear,1,4,fear,1,5,angry,1,1,neutral,2,4,angry,1,4,neutral,2,4,fear,1,5
20,145.373,161.198,-0.4301905,0.09037616,0.533737,0.518377,30.77,30.79,Sess01_script01_M012,fear,1.5,3.4,fear,3,3,fear,1,4,neutral,2,3,fear,1,4,fear,1,4,fear,1,1,neutral,2,3,fear,1,4,neutral,2,4,fear,1,4
21,161.198,168.5,0.09037616,-0.01807523,0.518377,0.501738,30.79,30.77,Sess01_script01_F009,fear,1.4,4.1,fear,2,5,sad,1,5,fear,2,4,fear,1,4,fear,1,5,angry,1,1,angry,2,4,angry,1,4,angry,2,4,fear,1,5
22,168.5,171.943,-0.01807523,0.03976551,0.501738,0.492778,30.77,30.79,Sess01_script01_M013,fear,1.5,3.7,fear,3,4,sad,1,4,fear,2,4,fear,1,4,fear,1,5,fear,1,1,fear,2,4,fear,1,4,angry,2,3,fear,1,4
23,171.943,181.221,0.03976551,-0.05061065,0.492778,0.477419,30.79,30.79,Sess01_script01_M014,fear,1.5,3.7,fear,3,4,fear,1,4,fear,2,3,fear,1,4,fear,1,5,disgust,1,1,neutral,2,4,disgust,1,5,neutral,2,4,fear,1,3
24,181.221,182.593,-0.05061065,0.07230093,0.477419,0.494058,30.79,30.79,Sess01_script01_F010,fear,1.4,3.4,fear,2,3,fear,1,4,fear,2,3,fear,1,4,angry,1,4,disgust,1,1,neutral,2,3,disgust,1,5,neutral,2,4,fear,1,3
25,182.593,191.106,0.07230093,-0.234978,0.494058,0.527337,30.79,30.79,Sess01_script01_M015,fear,1.4,3.5,fear,2,4,fear,1,5,fear,2,3,fear,1,4,angry,1,4,disgust,1,1,neutral,2,3,disgust,1,4,neutral,2,4,fear,1,3
26,191.106,194.738,-0.234978,-0.04338056,0.527337,0.514537,30.79,30.83,Sess01_script01_F011,fear,1.4,3.4,fear,2,3,fear,1,5,fear,2,3,fear,1,4,fear,1,5,fear,1,1,neutral,2,3,fear,1,4,fear,2,4,fear,1,2
27,194.738,203.517,-0.04338056,0.01446019,0.514537,0.488939,30.83,30.79,Sess01_script01_F012,fear,1.4,3.8,fear,2,4,sad,1,5,fear,2,4,fear,1,4,sad,1,5,fear,1,1,neutral,2,3,fear,1,4,angry,2,4,fear,1,4
28,203.517,209.768,0.01446019,-0.1482169,0.488939,0.504298,30.79,30.81,Sess01_script01_M016,fear,1.5,3.6,fear,3,3,fear,1,5,fear,2,4,fear,1,4,sad,1,5,fear,1,1,neutral,2,3,fear,1,4,neutral,2,3,fear,1,4
29,209.768,216.907,-0.1482169,-0.469956,0.504298,0.577521,30.81,30.81,Sess01_script01_F013,fear,1.5,3.8,fear,3,4,sad,1,5,fear,2,4,fear,1,4,sad,1,5,fear,1,1,neutral,2,3,fear,1,4,fear,2,4,neutral,1,4
30,216.907,221.544,-0.469956,0.02892037,0.577521,0.549363,30.81,30.81,Sess01_script01_M017,surprise,1.4,3.9,surprise,2,4,surprise,1,5,surprise,2,4,surprise,1,5,surprise,1,5,surprise,1,1,neutral,2,3,surprise,1,4,surprise,2,4,surprise,1,4
31,221.544,224.715,0.02892037,-0.3145091,0.549363,0.546803,30.81,30.79,Sess01_script01_F014,fear,1.5,3.8,fear,3,4,surprise,1,5,fear,2,4,fear,1,5,fear,1,5,fear,1,1,surprise,2,4,fear,1,4,fear,2,4,fear,1,2
32,224.715,229.455,-0.3145091,-0.2422081,0.546803,0.523764,30.79,30.83,Sess01_script01_M018,fear,1.5,3.7,fear,3,3,surprise,1,5,fear,2,4,fear,1,5,fear,1,5,fear,1,1,surprise,2,4,fear,1,4,fear,2,4,fear,1,2
33,229.455,234.2,-0.2422081,-0.1120664,0.523764,0.503285,30.83,30.83,Sess01_script01_M019,fear,1.5,3.6,fear,3,4,surprise,1,5,fear,2,4,fear,1,5,fear,1,5,fear,1,1,neutral,2,3,fear,1,4,fear,2,3,fear,1,2
34,234.2,237.868,-0.1120664,-0.03976551,0.503285,0.491765,30.83,30.83,Sess01_script01_F015,fear,1.4,3.7,fear,2,4,fear,1,5,fear,2,4,fear,1,5,fear,1,5,fear,1,1,fear,2,3,fear,1,4,fear,2,4,fear,1,2
35,237.868,240.918,-0.03976551,-0.0542257,0.491765,0.487925,30.83,30.83,Sess01_script01_M020,fear,1.5,3.5,fear,3,3,fear,1,5,fear,2,3,fear,1,5,fear,1,5,fear,1,1,fear,2,3,fear,1,4,neutral,2,4,fear,1,2
36,240.918,251.087,-0.0542257,-0.1301417,0.487925,0.997343,30.83,30.85,Sess01_script01_M021,fear,1.5,3.6,fear,3,4,fear,1,5,fear,2,3,fear,1,5,fear,1,5,fear,1,1,neutral,2,3,fear,1,4,neutral,2,4,fear,1,2
37,251.087,252.837,-0.1301417,-0.1301417,0.997343,0.909027,30.85,30.85,Sess01_script01_F016,fear,1.4,3.5,fear,2,4,fear,1,5,fear,2,3,fear,1,5,fear,1,5,fear,1,1,fear,2,3,fear,1,4,neutral,2,3,fear,1,2
38,252.837,273.067,-0.1301417,-0.1482169,0.909027,0.887268,30.85,30.91,Sess01_script01_M022,fear,1.3,3.2,fear,2,4,fear,1,2,fear,2,2,fear,1,5,fear,1,5,fear,1,1,fear,1,3,fear,1,4,fear,2,4,fear,1,2
