Numb,Wav,,ECG,,E4-EDA,,E4-TEMP,,Segment ID,Total Evaluation,,,Eval01F,,,Eval02M,,,Eval03F,,,Eval04F,,,Eval05M,,,Eval06M,,,Eval07M,,,Eval08F,,,Eval09M,,,Eval10F,,
,start,end,start,end,start,end,start,end,,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal,Emotion,Valence,Arousal
1,5.736,9.884,0.5133366,-0.01084514,3.552122,3.586722,34.05,34.03,Sess02_script01_F001,neutral,2.9,2.6,neutral,3,1,sad,2,2,neutral,3,2,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3
2,9.884,15.847,-0.01084514,0.1337567,3.586722,3.64567,34.03,34,Sess02_script01_M001,neutral,2.6,2.7,neutral,2,1,sad,2,2,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,2,3,disgust,2,3,neutral,3,3,neutral,3,3
3,15.847,21.365,0.1337567,0.003615046,3.64567,3.693085,34,34.03,Sess02_script01_F002,neutral,2.6,2.7,angry,2,2,surprise,2,2,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,2,neutral,2,3,disgust,2,3,neutral,3,3,neutral,3,3
4,21.365,29.539,0.003615046,-0.003615046,3.693085,3.928129,34.03,33.99,Sess02_script01_M002,surprise,2.4,2.8,angry,1,2,surprise,2,2,surprise,3,4,surprise,3,3,surprise,3,3,surprise,2,2,neutral,3,3,disgust,2,3,neutral,3,3,surprise,2,3
5,29.539,30.997,-0.003615046,0.003615046,3.928129,3.925566,33.99,33.99,Sess02_script01_F003,neutral,2.6,2.8,angry,2,2,surprise,3,3,neutral,3,3,surprise,3,3,neutral,3,3,neutral,2,2,neutral,3,3,disgust,2,3,neutral,3,3,neutral,2,3
6,30.997,41.343,0.003615046,0,3.925566,3.61032,33.99,33.95,Sess02_script01_M003,surprise,2.6,3.3,surprise,3,4,surprise,2,3,surprise,3,4,surprise,3,3,neutral,3,3,neutral,2,2,surprise,3,3,disgust,2,4,neutral,3,3,surprise,2,4
7,41.343,44.232,0,0.03253542,3.61032,3.662861,33.95,33.93,Sess02_script01_F004,neutral,2.9,2.9,neutral,3,2,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,2,3,neutral,3,3,neutral,3,3
8,44.232,53.589,0.03253542,-0.06145579,3.662861,3.578283,33.93,33.93,Sess02_script01_M004,neutral,3.5,3.2,happy,4,4,happy,4,3,neutral,3,3,neutral,4,3,happy,3,3,neutral,3,3,happy,3,3,neutral,4,4,neutral,4,3,neutral,3,3
9,53.589,58.493,-0.06145579,-0.03615047,3.578283,3.652609,33.93,33.89,Sess02_script01_F005,neutral,2.8,3.1,surprise,2,3,surprise,3,3,neutral,3,3,surprise,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,4,neutral,3,3,neutral,2,3
